Date,Description,Amount
02/27/2025,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,20.33
02/27/2025,DISNEYPLUS          888-905-7888        CA,10.99
02/27/2025,Redeem Cash Back at Amazon.com Credit,-20.33
02/26/2025,PAYPAL *EBAY 800-4564029357733          CA,-147.19
02/25/2025,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,16.27
02/24/2025,AplPay PAYRANGE MOBIPORTLAND            OR,25.00
02/24/2025,MAX                 NEW YORK            NY,16.99
02/24/2025,Redeem Cash Back at Amazon.com Credit,-16.27
02/24/2025,TELLO US            TELLO.COM           GA,11.96
02/23/2025,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,-63.87
02/23/2025,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,63.87
02/22/2025,APPLE.COM/BILL      INTERNET CHARGE     CA,-19.99
02/22/2025,APPLE.COM/BILL      INTERNET CHARGE     CA,-14.99
02/22/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,103.40
02/22/2025,Redeem Cash Back at Amazon.com Credit,-63.87
02/21/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-10.42
02/21/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-8.67
02/21/2025,AMAZON.COM          AMZN.COM/BILL       WA,-27.15
02/21/2025,AMAZON.COM          AMZN.COM/BILL       WA,-10.85
02/21/2025,AMAZON.COM          AMZN.COM/BILL       WA,-8.68
02/21/2025,AMAZON.COM          AMZN.COM/BILL       WA,-7.59
02/21/2025,APPLE.COM/BILL      INTERNET CHARGE     CA,19.99
02/21/2025,GUITARCENTER.COM CALDRAPER              UT,-548.55
02/21/2025,TRADER JOE S #200 00SAN FRANCISCO       CA,8.28
02/20/2025,PAYPAL *EBAY 800-4564029357733          CA,-20.63
02/20/2025,PAYPAL *EBAYINCSHIP 4029357733          CA,15.43
02/20/2025,PAYPAL *EBAYINCSHIP 4029357733          CA,17.00
02/19/2025,AplPay BT*WAYMO     MOUNTAIN VIEW       CA,11.89
02/19/2025,ESTRELLA TAQUERIA   SAN FRANCISCO       CA,29.84
02/19/2025,H&M                 SAN FRANCISCO       CA,-27.15
02/19/2025,PAYPAL *EBAY 800-4564029357733          CA,138.08
02/18/2025,AplPay CLIPPER SYSTECONCORD             CA,3.00
02/18/2025,AplPay TM *PHIL HANLLOS ANGELES         CA,91.60
02/18/2025,PAYPAL *EBAY 800-4564029357733          CA,-14.11
02/18/2025,TRADER JOE S #200 00SAN FRANCISCO       CA,9.66
02/17/2025,AMAZON MARKEPLACE NA PA,92.64
02/17/2025,AMAZON.COM          AMZN.COM/BILL       WA,7.59
02/17/2025,AMAZON.COM          AMZN.COM/BILL       WA,31.45
02/17/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,4.28
02/17/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,38.22
02/17/2025,PAYPAL *EBAY 800-4564029357733          CA,10.48
02/16/2025,AMAZON.COM          AMZN.COM/BILL       WA,48.75
02/16/2025,TRADER JOE S #200 00SAN FRANCISCO       CA,16.16
02/15/2025,AplPay PAYRANGE MOBIPORTLAND            OR,25.00
02/15/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,83.43
02/14/2025,AMAZON.COM          AMZN.COM/BILL       WA,27.38
02/14/2025,ONLINE PAYMENT - THANK YOU,-5037.81
02/13/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,16.74
02/12/2025,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,-41.05
02/12/2025,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,41.05
02/12/2025,Redeem Cash Back at Amazon.com Credit,-41.05
02/10/2025,PAYPAL *EBAY 800-4564029357733          CA,20.63
02/09/2025,AMAZON MARKEPLACE NA PA,47.08
02/09/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,115.87
02/09/2025,RECORDSNV           7025586207          NV,91.00
02/08/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,3.99
02/08/2025,AplPay TRADER JOE S SAN FRANCISCO       CA,9.58
